"id","tmdb_id","imdb_id","title","plot","content_rating_id","viewers_rating","release_year","akas","watchmode_id"
80,"44","tt14948432","Red One"," ",124,NULL,2024,"Red One (2024) ",NULL
81,"1","tt0388629","One Piece"," ",125,NULL,1999,"One Piece (1999) ",NULL
82,"35","tt7235466","9-1-1"," ",126,NULL,2018,"9-1-1 (2018) ",NULL
83,"85","tt8864596","Transformers One"," ",127,NULL,2024,"Transformers One (2024) ",NULL
85,"12","tt10323338","9-1-1: Lone Star"," ",129,NULL,2020,"9-1-1: Lone Star (2020) ",NULL
86,"72","tt16283804","One Day"," ",130,NULL,2024,"One Day (2024) ",NULL
27,"66","tt5726616","Call Me by Your Name"," ",75,NULL,2017,"Call Me by Your Name (2017) ",NULL
28,"43","tt10530176","The Call"," ",76,NULL,2020,"The Call (2020) ",NULL
29,"6","tt1615147","Margin Call"," ",77,NULL,2011,"Margin Call (2011) ",NULL
30,"24","tt1289401","Ghostbusters"," ",78,NULL,2016,"Ghostbusters (2016) ",NULL
31,"17","tt14582876","On Call"," ",79,NULL,2025,"On Call (2025) ",NULL
32,"13","tt21908964","Call Me Bae"," ",80,NULL,2024,"Call Me Bae (2024) ",NULL
94,"125308",NULL,"One","The resilience of the human soul is simultaneously humbled and exalted as two young men make earnest attempts at self-reinvention.",NULL,"8.0",1998,"",""
145,"39514",NULL,"RED","After surviving an assault from a squad of hit men, retired CIA black ops agent Frank Moses reassembles his old team for an all-out war. Frank reunites with old Joe, crazy Marvin and wily Victoria to uncover a massive conspiracy that threatens their lives. Only their expert training will allow them to survive a near-impossible mission -- breaking into CIA headquarters.",NULL,"6.7",2010,"",""
146,"705862",NULL,"Red","A married woman with a lovely daughter lives a carefree life, until she meets her ex-lover at a friend’s wedding. They haven’t seen each other in ten years, but they begin an affair.",NULL,"4.6",2020,"",""
147,"13200",NULL,"Red","Avery, a reclusive older man, has a best friend in his dog, Red. When three teens kill Red without reason, Avery sets out for justice and redemption, attempting to follow the letter of the law. But when the law fails him, and the boys' father clearly defines right and wrong in his own way, Avery must avenge himself by any means possible.",NULL,"6.2",2008,"",""
148,"681435",NULL,"Red","When civil engineer Siddharth is arrested for a murder on the basis of a pictorial evidence, cops discover his lookalike Aditya and realize they have only 48 hours to solve the case.",NULL,"5.3",2021,"",""
149,"845781",NULL,"Red One","After Santa Claus (codename: Red One) is kidnapped, the North Pole's Head of Security must team up with the world's most infamous bounty hunter in a globe-trotting, action-packed mission to save Christmas.",NULL,"6.6",2024,"",""
150,"847802",NULL,"Red","",NULL,"4.4",2022,"",""
151,"644937",NULL,"Red","Under the watchful gaze of his young assistant, the artist Mark Rothko takes on his greatest challenge yet: to create a definitive series of paintings for the Philip Johnson-designed Four Seasons restaurant in architect Mies van der Rohe’s iconic Seagram Building. Award-winning stage and screen actor Alfred Molina reprises his critically acclaimed performance as the American abstract expressionist painter Mark Rothko in playwright John Logan’s Tony Award-winning 2010 play Red. Molina is joined by rising star Alfred Enoch (How to Get Away With Murder) as Rothko’s assistant Ken. Original Broadway director Michael Grandage returns to direct this 2018 West End revival, the first U.K. production since the play’s 2009 world premiere at the Donmar Warehouse.",NULL,"4.5",2018,"",""
